#
# This file is generated by http://www.alpin-koordinaten.de
# and included in the gipfel tarball with the kind permission of
# www.alpin-koordinaten.de
#
HNKST1,1. Hinkelstein,,50.69708,6.46826,260
KaDr1,1. Kardrittel,weiter n. S,47.29074,10.13071,1852
MWKAJ1,1st Mweka Junction,,-3.11842,37.37322,-9999
ACON07,1st view of Aconcagua,,-32.63722,69.83825,-9999
2EICHN,2 Eichen,Naturdenkmal,50.27069,6.67408,-9999
KaDr2,2. Kardrittel,weiter n. WSW,47.28801,10.13147,2034
MWKAJ2,2nd Mweka Junction,,-3.12131,37.37185,-9999
3ZINNE,3 Zinnen (Frankenjura),,49.67196,11.29128,460.9
3ZINNH,3-Zinnen-Hütte,3-Zinnen-Hütte,46.63682,12.31039,2413
HINKST3,3. Hinkelstein,,50.69769,6.46887,244
3RDCLT,3rd class to top,3rd class to top,36.57849,-118.29431,-9999
HINKST4,4. Hinkelstein,,50.69806,6.46956,250
ANHTDF,A Neuve Hütte (Dufour),SAC Hütte,45.94882,7.06686,2735
ARBIWK,Aarbiwak,Biwak,46.55547,8.1522,2731
AARLEY,Aarley,Gipfel; Basaltfelsen mit Dankeskreuz oberhalb von Üderdorf in 557 m Höhe mit herrlichen Blick herab auf den Ort; in der Winterzeit ist das Kreuz beleuchtet.,50.15832,6.79386,557
ASYTPP,Aasiya Tuppa,,30.06194,82.27806,6255
ABLASBUEHL,Abblasbühel,,47.691,13.93997,1850
MP08,Abbruch,Steilabbruch zu beiden Seiten,-33.71592,-69.94469,4324
ABENDLT,Abendleite,,49.8024,11.30244,331.9
ABNFLU,Äbeni Flue,,46.50797,7.95353,3962
ABI,Abi,,27.95833,86.79278,6081
ABSAM,Absam,,47.29579,11.50155,632
RELCHA,Abseilstelle Aiguille du Chardonnet,Erste Abseilstelle auf dem Normalweg / Abstiegsweg von der Aiguille du Chardonnet. 2 weitere Relais folgen. Höhenangabe ungefähr.,45.96856,6.99825,3650
AzGha,Abz. große Halde,Lichtung n. N folgen,47.31484,10.09918,1408
AbStzw,Abzw. Starzelweg,zum Starzelhaus,47.31082,10.12048,1239
AbWb,Abzw. Wbg.,weiter a. Derrenbach,47.30508,10.10799,1358
ABWDRS,Abzw. Widderstein A.,n. E- zur Alpe,47.30935,10.12139,1263
MP21,Abzweig,Abzweig der Spur nach links,-33.72736,-69.92371,4938
AZGFT2,Abzweig  Guffert Südkante 2,,47.5398,11.79157,1712.1
ABZBDW,Abzweig Bernadeinweg,hier wird der Fahrweg verlassen/erreicht,47.44719,11.06381,1638
ABRICO,Abzweig Bricola,möglicher Abzweig nach Bricola (ohne Wegweiser) von der asphaltierten Straße (Fahrverbot) oberhalb des Parkplatzes von Ferpècle,46.05966,7.55033,1890
ABCOLORES,Abzweig Cascada de Colores,,28.70769,-17.88044,484
ABZWG,Abzweig Combin de Corbassiere,Über Schutt auf den höhergelegen Gletscherarm. Rechts rauscht ein Bach mit Schmelzwasser (je nach Temperatur),45.97252,7.29543,2941
ABZWEUGST,Abzweig Eugenienstein,Abzweig vom Hauptwanderweg in Richtung Eugenienstein (Westen),50.70305,6.44894,252
GRUNWG,Abzweig Europaweg-Gruengartenweg,Wegweiser (ins Tal Richtung Wildi),46.09681,7.80137,2267
EUKINH,Abzweig Europaweg-Kinhütte,Wegweiser,46.09123,7.79985,2286
FUEGOWG,Abzweig Fuego,Weggabelung,28.52126,-17.83571,1218
ABGALT,Abzweig Galtür,Wegweiser; hier ab von der Fahrstraße zwischen Galtür und Jamtalhütte; um auf schönem Weg Richtung Galtür zu gehen,46.89503,10.17448,2022
ABGRKI,Abzweig Gruengartenweg-Kinhüttenweg,,46.09344,7.79472,2051
AZGFT1,Abzweig Guffert Südkante 1,,47.52717,11.79154,1196.9
AZWHLFLS,Abzweig Hohler Fels,Mit Beschilderung nach Arzlohe und Förrenbach,49.48769,11.49902,405.1
TP06,Abzweig Lager 5,Tupungato - Abzweig zum Lager 5,-33.31675,-69.79267,4835.3
ABLESR,Abzweig Les Rosses,bei einem Warnschild wegen Hochwasser-Gefahr,46.05855,7.55446,1985
PFADB,Abzweig Pfad / Forststr.,Hier zweigt der Pfad zur Weitalpspitze vom Forstweg ab.,47.53844,10.88011,1191
ABRCSP,Abzweig Richtung Königsspitze,unterhalb Rifugio Casati bzw. Langenferner Joch,46.46163,10.59736,3022
WGRIEDERST,Abzweig Riederstein,,47.70416,11.79331,1187
ABZSTB,Abzweig Stuibensee,von hier südwärts ansteigend,47.43443,11.07628,1522
P2311,Abzweig zum Hochgall,,46.92412,12.11517,2322
QSOVGL,Abzweig zur Quelle der Sovaglia,,45.93394,9.00323,681
ABZWGN,Abzweigung,,47.35444,9.895,1026
ABZWGN,Abzweigung,,47.35528,9.89583,1224
ABZWGN,Abzweigung,,47.36139,9.89583,1135
ABZWGN,Abzweigung,,47.3575,9.92194,772
ABZWGN,Abzweigung,,47.36472,9.76667,1111
ABZWGN,Abzweigung,,47.51972,9.78667,1004
ABZWGN,Abzweigung,,47.54389,9.81361,1036
ABZWG,Abzweigung,,47.43437,9.95211,1023
ABZWGN,Abzweigung,,47.06306,9.86944,1166
ABZWGN,Abzweigung,,46.98333,10.07278,2190
ABZWGN,Abzweigung,,46.95194,9.96639,2378
ABBRND,Abzweigung Bernadeinweg,,47.43037,11.05907,2123
ACKRHT,Ackerlhütte,,47.54965,12.34959,1460
ACKRHT,Ackerlhütte,Hütte der ÖAV Sekt. Kitzbühel,47.54965,12.34958,1460
ACON19,Aconcagua Summit,,-32.65312,70.01198,6892
ACQCHT,Acquacalda Hütte,Private Hütte,46.53772,8.83419,1750
ADMKHT,Adamekhütte,,47.49217,13.58402,2196
ADMKHT,Adamekhütte,ÖAV Sekt. Austria,47.49217,13.58402,2196
ADLBDN,Adelboden,,46.49315,7.5599,1348
ADLSBG,Adelsbergfels,<a href="http://www.summitpost.org/show/mountain_link.pl/mountain_id/4329" target="summitpost" class="intext">Suedpfalz Climbing Region (SummitPost.org)</a>,49.0554,7.6446,395
ADLSFL,Adelsfelsen,<a href="http://www.summitpost.org/show/mountain_link.pl/mountain_id/4329" target="summitpost" class="intext">Suedpfalz Climbing Region (SummitPost.org)</a>,49.0796,7.7529,284
ADLRPS,Adlerpass,zwischen Strahlhorn und Rimpfischhorn,46.01827,7.88768,3790
ADLRSR,Adlersruhe,Standort der Erzherzog-Johann-Hütte,47.07028,12.70194,3454
ADMNHS,Admonter Haus,,47.63177,14.49141,1725
ADMNHS,Admonter Haus,Hütte der ÖAV Sekt. Admont,47.63167,14.49139,1725
ADMHS,Admonter Haus,Aufstieg von Hall/Kirche oder Buchauer Sattel,47.63178,14.4914,1725
ADMONTERH,Admonter Haus,,47.63185,14.4917,1723
RCHNST,Admonter Reichenstein,,47.54932,14.54353,2222.9
ADMONTERW,Admonter Warte,,47.63021,14.49276,1804
ANBGHT,Adolf-Nossberger-Hütte,,46.95403,12.78115,2488
ANBGHT,Adolf-Nossberger-Hütte,Hütte der ÖAV Sekt.Wr. Lehrer,46.95403,12.78115,2488
ADLHTC,Adula Hütte (CAS),SAC Hütte,46.4991,8.99567,2012
ADLHTU,Adula Hütte (UTOE),Private Hütte,46.49542,9.00768,2393
AGSSHR,Agassizhorn,,46.54662,8.1144,3946
AGSSZJ,Agassizjoch,,46.54399,8.11724,3749
AGRINT,Agrient,,46.36586,9.92523,3945.1
AHRLHT,Ahornalmhütte,,47.79818,14.0278,1336
AHRLHT,Ahornalmhütte,auch Kirchdorfer Hütte der ÖAV Sekt. Kirchdorf/Krems,47.79818,14.0278,1336
AHORNKGL,Ahornkogel,,47.63953,13.81539,1686
AHRBRK,Ahrbrücke bei Ahrschleife,südlich des Langfig,50.50833,6.99786,163
ABLNHT,Aiblinger Hütte,,47.71134,11.99583,1311
AGLSDT,Aig. du Tour,,45.99439,7.01032,3540
NTRTETE,Aig. Nord de Tre la Tete,,45.79823,6.81148,3891
AGAGNT,Aiguille d'Argentière,,45.95981,7.02035,3901
AGLDCB,Aiguille de la Cabane,,46.00657,7.06801,2999
AGLDLT,Aiguille de la Tsa,,46.02154,7.52218,3668
AGLDVR,Aiguille de la Verappe,,45.9828,7.03359,3519
AGRNMN,Aiguille des Grands Montets,,45.94815,6.96021,3297
AIGCHA,Aiguille du Chardonnet,Höhe gemäss IGN Karte.,45.96883,7.00139,3824
AGCHRD,Aiguille du Chardonnet,,45.96882,7.00144,3824
AGLJVL,Aiguille Javelle,,45.98526,7.04209,3400
APRTSC,Aiguille Purtscheller,,45.99144,7.01236,3475
AGLSNN,Aiguille Sans Nom,,45.98362,7.03888,3444
AGLSDL,Aiguilles de la Le,,46.09549,7.60195,3179
AGLSDR,Aiguilles Dorees,,45.9828,7.03359,3518
AGLSDT,Aiguilles du Tour,,45.9944,7.01014,3540
AGLRGA,Aiguilles Rouges d'Arolla,,46.05549,7.43347,3646
AIPLHU,Aiplhütte,Jagdhütte,47.6177,14.25376,-9999
AIPLSP,Aiplspitz,Aiplspitz Gipfelkreuz,47.67318,11.92368,1758
LGRPLA,Ajuani,,-16.18325,-68.32549,4617
ALLGHT,Al Legn Hütte,Private Hütte,46.12222,8.66598,1804
ALBGHT,Albagno Hütte,Private Hütte,46.22262,8.95509,1870
ALBKL7,Albaumer Klippen,hohe Felsgruppe,51.05939,8.12965,535
ALBKL8,Albaumer Klippen,hohe Felsen; "Vorgipfel" der Felsen mit Gipfelkreuz,51.05935,8.1301,538
ALBKL9,Albaumer Klippengipfel,Kreuz auf diesem "Gipfel"; der indes nicht den höchsten Punkt der Albaumer Klippen bildet; die weiter oben liegenden Felsen sind jedoch zunehmend weniger ausgeprägt und tauchen schließlich im Wald ab,51.05964,8.13078,563
ALBGFX,Albergo Fex,Bergrestaurant,46.39831,9.77738,1973
GHERTELE,Albergo Ghertele,Italien - Sette Communi; Gasthaus an der SS349,45.94008,11.43636,1187.1
ALBER,Alberschwende,,47.4515,9.83089,721
ALINKH,Albert Link Hütte,,47.65482,11.88684,1050
ALBAHS,Albert-Appel-Haus,,47.692,13.87317,1640
APPELH,Albert-Appel-Haus,,47.69392,13.87139,1638
ALBRBW,Albert-Biwak,,47.11555,13.35207,2428
ALBRBW,Albert-Biwak,Biwakhütte der ÖAV Sekt. Edelweiss,47.11555,13.35208,2428
ALHMHT,Albert-Heim-Hütte,,46.60905,8.46359,2541
ALBLHT,Albert-Link-Hütte,,47.65507,11.88686,1000
ALBGHT,Albigna Hütte,SAC Hütte,46.32994,9.65511,2336
ALBLPLAN,Alblplan,,47.6273,14.1103,-9999
ALDRNS,Aldrans,,47.25271,11.44675,760
ALTSHR,Aletschhorn,,46.46514,7.99374,4193
ALETSH,Aletschhorn,,46.46514,7.99387,4195
